仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,31630188.27420154,75332.10663369308,64257.67239517625,982.7840801024071,0.2925893355457439,0.8529918419463969,15278.43953976508,5
2,324130434.84803236,1995700.9618131276,1659293.3770746794,8454.057132058013,0.18787709448051884,0.8314338715190995,676971.9744147463,6
3,30172811.275571283,91015.47568958288,72210.74319027354,2006.2278597705756,0.25831716826883666,0.7933897245843695,14275.215924504202,4
4,12841587.142331453,37985.840929043276,32574.676673531292,370.49502154324233,0.2790649737525657,0.8575478619620421,5177.213110537903,4
5,55024477.71633842,140645.97383909964,119469.94702493468,1704.33617444966,0.3164006159946497,0.8494373764414291,31770.240197923074,5
6,33636826.12869221,74996.9821698249,64600.813326337186,498.54737286632894,0.3325152516075972,0.8613788376184739,16081.845527876922,5
7,75021609.50942755,274837.9167225102,231559.6030985265,139.0814271974951,0.27445677471396585,0.842531503148892,62680.38248597845,5
8,137670981.1828003,730529.6998546993,558156.4986577405,12419.165051628168,0.22275848605980414,0.7640435409658999,169233.16973295496,5
9,280579110.61575633,1360293.428821783,1119365.9127354154,23923.009309105604,0.24312799808583993,0.8228856282169599,285401.3349294452,5
10,122337469.65772104,527247.6512557274,455457.5831527538,453.03983200824314,0.2388471177032354,0.8638399470685291,110758.62178887274,5
