仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,31971430.321448326,75332.10663369308,63032.04665680105,1766.7278547820872,0.3908939994974577,0.8367222088092955,9134.53783588383,6
2,282379070.2161289,1995700.9618131276,1506040.1200906374,129365.85129287996,0.2363872661855046,0.7546421778152448,434458.27149319893,6
3,30583294.2032267,91015.47568958288,72210.74319027354,1604.982287816461,0.31501016582935937,0.7933897245843695,12802.109106601865,6
4,12848847.154679308,37985.840929043276,32410.28990042799,427.9054357172374,0.3478765666488684,0.8532202817615571,4862.483338305834,6
5,55587979.21949167,140645.97383909964,119419.8471211559,1403.5488625827525,0.38372142773020973,0.8490811635871878,25642.587485680862,7
6,32918816.527236547,74996.9821698249,60790.41108016181,3447.1596952333684,0.4226830467334959,0.8105714299610962,11758.343162134157,6
7,74804466.79029512,274837.9167225102,227220.8561746697,3582.262680843435,0.3449632875034356,0.8267449371044499,50590.96756963502,7
8,137948125.8779764,730529.6998546993,549896.0682235648,16543.676388643158,0.2796914522798797,0.7527360877086008,136592.49452700294,7
9,285733279.8727871,1360293.428821783,1119835.7091715133,18762.570298406205,0.279731570653286,0.8232309922583821,230354.8432075384,7
10,122142814.04330672,527247.6512557274,455457.5831527538,362.43186560659456,0.29501116522191617,0.8638399470685291,120684.82335303129,8
